TQ,DPQ,C,OU,DI,DFT,RD,DFO,DI2,DFT2,RD2,DFO2,DI3,DFT3,RD3,DFO3
4,3,1,4,21,7,14,9,14,12,2,2,2,1,1,0
2,3,3,1,53,6,47,31,47,37,10,2,10,1,9,5
3,2,0,3,40,29,11,10,11,9,2,1,2,0,2,2
1,2,1,2,21,6,15,0,15,6,9,5,9,6,3,3
1,0,1,2,43,7,36,0,36,4,32,29,32,18,14,5
1,3,0,2,23,11,12,0,12,6,6,3,6,1,5,3
3,4,0,2,74,7,67,31,67,53,14,12,14,5,9,4
0,4,4,2,15,3,12,11,12,4,8,5,8,4,4,0
3,4,1,0,17,10,7,1,7,0,7,4,7,0,7,2
4,2,4,2,10,2,8,3,8,5,3,1,3,3,0,0
4,1,1,2,9,4,5,2,5,2,3,1,3,0,3,3
2,4,4,4,40,36,4,2,4,2,2,0,2,1,1,1
0,3,4,2,50,37,13,2,13,13,0,0,0,0,0,0
3,2,2,4,29,15,14,12,14,12,2,1,2,0,2,0
3,4,4,4,28,18,10,9,10,0,10,4,10,10,0,0
2,3,3,1,22,0,22,20,22,19,3,1,3,2,1,0
4,1,3,4,26,22,4,3,4,0,4,2,4,4,0,0
3,4,3,0,10,10,0,0,0,0,0,0,0,0,0,0
4,2,2,1,71,6,65,13,65,61,4,4,4,0,4,1
3,2,4,1,23,22,1,0,1,1,0,0,0,0,0,0
4,1,2,1,53,16,37,5,37,14,23,7,23,10,13,11
3,4,1,4,15,13,2,2,2,2,0,0,0,0,0,0
1,1,3,4,1,0,1,1,1,0,1,0,1,0,1,0
3,2,4,2,27,12,15,13,15,0,15,14,15,0,15,15
4,4,3,0,27,3,24,18,24,13,11,6,11,7,4,1
1,4,2,4,10,2,8,1,8,6,2,2,2,0,2,0
3,1,4,3,65,53,12,2,12,1,11,2,11,4,7,4
3,3,2,1,40,16,24,11,24,10,14,12,14,13,1,1
2,0,3,0,11,2,9,9,9,8,1,0,1,0,1,1
4,1,2,2,24,4,20,5,20,4,16,3,16,13,3,0
1,2,2,4,27,1,26,17,26,18,8,6,8,4,4,4
1,3,1,1,5,4,1,1,1,0,1,0,1,0,1,1
0,1,4,1,63,48,15,4,15,0,15,3,15,15,0,0
4,3,3,1,44,27,17,6,17,15,2,0,2,0,2,2
4,3,3,3,49,34,15,12,15,13,2,0,2,1,1,0
2,2,3,0,10,2,8,2,8,1,7,2,7,3,4,4
3,2,2,3,74,70,4,3,4,3,1,0,1,1,0,0
0,0,4,0,52,37,15,11,15,1,14,9,14,4,10,9
2,2,1,1,40,3,37,31,37,15,22,18,22,2,20,12
0,1,3,3,30,25,5,4,5,0,5,4,5,5,0,0
3,4,0,2,30,26,4,0,4,3,1,1,1,0,1,1
0,1,3,4,30,25,5,4,5,2,3,2,3,3,0,0
0,2,4,0,33,16,17,10,17,16,1,1,1,0,1,0
1,4,1,2,40,15,25,1,25,0,25,5,25,1,24,24
4,4,3,1,45,29,16,9,16,16,0,0,0,0,0,0
2,0,2,1,35,30,5,5,5,4,1,0,1,0,1,0
2,3,2,0,46,18,28,9,28,21,7,4,7,4,3,1
2,0,0,1,17,5,12,2,12,7,5,5,5,3,2,2
0,0,1,0,21,6,15,2,15,14,1,0,1,1,0,0
3,4,3,4,26,3,23,3,23,22,1,1,1,0,1,1
4,3,3,2,38,4,34,15,34,31,3,3,3,0,3,1
0,0,1,4,24,24,0,0,0,0,0,0,0,0,0,0
3,4,2,2,14,14,0,0,0,0,0,0,0,0,0,0
4,1,1,4,28,22,6,3,6,2,4,3,4,2,2,2
4,4,4,3,4,2,2,0,2,2,0,0,0,0,0,0
1,2,0,4,40,13,27,18,27,10,17,4,17,0,17,15
1,2,4,2,15,1,14,3,14,10,4,0,4,2,2,1
4,0,0,1,5,0,5,4,5,1,4,3,4,0,4,0
2,2,4,2,8,5,3,1,3,2,1,0,1,0,1,1
2,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,1,23,23,0,0,0,0,0,0,0,0,0,0
3,2,4,4,35,3,32,21,32,9,23,3,23,14,9,3
1,0,1,1,61,14,47,7,47,32,15,13,15,14,1,1
0,4,1,4,13,0,13,10,13,13,0,0,0,0,0,0
2,2,3,2,30,25,5,2,5,1,4,0,4,3,1,0
0,4,1,0,52,31,21,12,21,15,6,5,6,5,1,0
3,4,2,1,33,12,21,10,21,15,6,0,6,6,0,0
4,4,2,3,16,14,2,2,2,2,0,0,0,0,0,0
0,4,0,0,37,18,19,9,19,17,2,2,2,1,1,1
3,0,1,1,19,11,8,4,8,8,0,0,0,0,0,0
4,2,0,2,59,2,57,33,57,52,5,3,5,3,2,0
3,3,2,2,36,19,17,5,17,11,6,6,6,6,0,0
2,4,2,2,21,21,0,0,0,0,0,0,0,0,0,0
4,2,4,3,32,21,11,4,11,8,3,3,3,0,3,0
3,0,1,3,53,17,36,30,36,8,28,16,28,2,26,22
1,2,3,0,26,7,19,10,19,6,13,9,13,1,12,2
2,0,2,0,46,0,46,9,46,1,45,13,45,10,35,5
0,1,2,3,67,26,41,7,41,11,30,29,30,16,14,10
2,3,4,4,18,9,9,8,9,4,5,0,5,3,2,2
1,0,4,1,11,3,8,7,8,7,1,1,1,1,0,0
1,3,3,0,34,19,15,12,15,13,2,2,2,1,1,0
2,4,0,0,32,10,22,7,22,17,5,5,5,0,5,4
3,4,3,1,44,1,43,17,43,22,21,11,21,18,3,0
1,3,3,1,18,2,16,11,16,15,1,1,1,0,1,1
0,3,2,3,24,0,24,15,24,23,1,0,1,1,0,0
3,1,1,2,15,0,15,3,15,3,12,7,12,8,4,3
1,1,3,1,2,0,2,0,2,2,0,0,0,0,0,0
2,1,2,3,15,13,2,0,2,2,0,0,0,0,0,0
2,1,4,3,51,6,45,34,45,19,26,20,26,2,24,21
0,4,1,1,10,4,6,2,6,3,3,0,3,3,0,0
4,1,3,1,40,34,6,4,6,5,1,1,1,1,0,0
4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,3,43,32,11,11,11,3,8,4,8,3,5,0
1,0,2,1,13,3,10,8,10,7,3,1,3,3,0,0
0,0,3,4,59,50,9,7,9,8,1,0,1,0,1,0
3,0,1,1,26,16,10,10,10,6,4,0,4,3,1,0
4,4,1,0,45,29,16,15,16,10,6,5,6,1,5,2
1,2,0,4,20,0,20,20,20,2,18,14,18,15,3,3
0,4,0,0,43,35,8,5,8,5,3,1,3,2,1,1
2,0,4,1,25,1,24,5,24,20,4,2,4,3,1,1
4,1,4,2,24,16,8,2,8,6,2,0,2,0,2,1
4,3,0,4,72,2,70,25,70,57,13,3,13,9,4,2
4,0,1,1,13,8,5,0,5,4,1,1,1,1,0,0
3,0,1,0,45,44,1,0,1,0,1,1,1,1,0,0
2,2,3,0,19,17,2,1,2,0,2,1,2,2,0,0
2,1,3,4,17,4,13,5,13,3,10,4,10,0,10,3
0,3,2,2,47,47,0,0,0,0,0,0,0,0,0,0
0,1,4,4,30,28,2,0,2,2,0,0,0,0,0,0
4,0,1,2,75,0,75,69,75,9,66,3,66,32,34,9
3,4,4,3,42,15,27,18,27,23,4,2,4,0,4,3
2,4,1,1,3,1,2,0,2,2,0,0,0,0,0,0
1,1,4,1,7,6,1,0,1,0,1,1,1,1,0,0
0,1,2,3,12,8,4,4,4,1,3,3,3,3,0,0
1,0,2,3,9,5,4,2,4,0,4,2,4,1,3,1
1,1,3,3,71,34,37,25,37,20,17,5,17,11,6,3
4,2,3,1,29,16,13,6,13,4,9,1,9,1,8,8
1,4,2,1,23,18,5,0,5,0,5,2,5,2,3,3
2,3,4,0,26,22,4,4,4,2,2,1,2,0,2,1
4,2,2,3,23,14,9,6,9,4,5,3,5,5,0,0
1,1,2,2,20,11,9,1,9,6,3,2,3,1,2,0
3,3,4,3,56,50,6,0,6,0,6,0,6,2,4,3
3,3,3,2,34,10,24,1,24,12,12,10,12,1,11,10
1,4,1,0,58,43,15,11,15,9,6,2,6,5,1,0
4,0,2,0,58,32,26,12,26,23,3,1,3,1,2,0
0,1,0,3,33,21,12,12,12,0,12,0,12,6,6,4
3,3,4,3,5,5,0,0,0,0,0,0,0,0,0,0
2,0,4,1,29,15,14,5,14,2,12,2,12,12,0,0
1,2,2,4,34,13,21,2,21,14,7,1,7,0,7,2
0,4,2,4,53,8,45,44,45,29,16,15,16,9,7,7
3,2,1,1,42,4,38,1,38,5,33,6,33,26,7,1
4,1,0,4,29,29,0,0,0,0,0,0,0,0,0,0
2,3,4,4,24,3,21,12,21,0,21,8,21,2,19,12
2,3,2,2,36,30,6,6,6,5,1,0,1,0,1,0
2,2,0,3,45,45,0,0,0,0,0,0,0,0,0,0
1,4,2,2,58,4,54,5,54,45,9,5,9,2,7,3
2,3,2,0,23,10,13,3,13,3,10,10,10,8,2,0
2,4,2,1,41,8,33,21,33,12,21,14,21,9,12,5
1,3,4,3,18,5,13,10,13,5,8,4,8,1,7,7
0,4,4,3,34,7,27,23,27,12,15,15,15,3,12,6
3,1,3,4,40,23,17,5,17,12,5,0,5,0,5,3
1,1,2,2,31,20,11,2,11,4,7,0,7,6,1,1
2,1,3,4,44,4,40,7,40,2,38,22,38,23,15,13
0,2,1,3,44,43,1,0,1,0,1,1,1,1,0,0
2,3,1,3,16,8,8,8,8,0,8,5,8,8,0,0
2,3,4,1,4,4,0,0,0,0,0,0,0,0,0,0
2,2,1,2,33,3,30,17,30,9,21,16,21,4,17,1
3,1,1,4,33,18,15,5,15,5,10,0,10,3,7,2
4,1,4,4,23,15,8,2,8,3,5,4,5,2,3,3
1,4,4,4,10,7,3,0,3,1,2,1,2,2,0,0
1,1,0,4,61,2,59,0,59,11,48,24,48,34,14,14
2,0,4,0,34,0,34,20,34,8,26,8,26,21,5,3
3,1,2,3,32,1,31,13,31,2,29,23,29,20,9,7
1,2,1,3,60,55,5,0,5,4,1,0,1,1,0,0
3,4,3,3,51,15,36,2,36,10,26,9,26,21,5,5
0,1,1,1,12,12,0,0,0,0,0,0,0,0,0,0
3,3,3,0,20,12,8,8,8,5,3,1,3,2,1,0
2,0,1,4,6,6,0,0,0,0,0,0,0,0,0,0
0,0,2,3,27,4,23,9,23,17,6,5,6,1,5,2
2,0,2,0,20,12,8,0,8,2,6,6,6,1,5,1
0,1,4,0,18,10,8,1,8,8,0,0,0,0,0,0
0,0,1,1,27,18,9,4,9,5,4,1,4,0,4,4
2,1,1,2,47,21,26,26,26,22,4,0,4,3,1,1
2,3,3,0,45,37,8,3,8,1,7,0,7,1,6,0
2,1,2,1,34,13,21,7,21,19,2,1,2,1,1,0
3,1,2,3,23,12,11,0,11,7,4,2,4,4,0,0
2,0,1,3,42,41,1,1,1,0,1,1,1,1,0,0
1,4,1,1,44,34,10,10,10,10,0,0,0,0,0,0
3,2,2,3,53,49,4,0,4,4,0,0,0,0,0,0
2,2,3,4,33,17,16,13,16,15,1,0,1,1,0,0
0,0,0,0,24,3,21,9,21,5,16,8,16,14,2,1
4,0,3,1,28,27,1,0,1,1,0,0,0,0,0,0
3,1,3,3,57,29,28,16,28,17,11,4,11,3,8,6
0,3,0,3,45,41,4,1,4,4,0,0,0,0,0,0
0,3,3,3,14,13,1,1,1,0,1,1,1,0,1,1
1,2,2,4,36,6,30,25,30,12,18,0,18,9,9,5
1,1,4,1,45,7,38,19,38,2,36,0,36,36,0,0
4,2,3,0,35,18,17,10,17,5,12,1,12,5,7,4
2,2,2,0,21,13,8,2,8,7,1,0,1,1,0,0
3,1,2,0,31,2,29,28,29,24,5,3,5,0,5,5
1,2,0,4,29,24,5,5,5,1,4,0,4,2,2,1
4,1,4,4,12,10,2,0,2,0,2,2,2,0,2,2
3,2,0,2,19,2,17,8,17,16,1,1,1,0,1,0
4,4,4,1,14,13,1,1,1,0,1,1,1,1,0,0
1,4,2,3,45,5,40,38,40,34,6,0,6,3,3,2
1,3,2,3,9,7,2,0,2,2,0,0,0,0,0,0
4,0,3,2,34,14,20,17,20,19,1,1,1,1,0,0
1,4,2,4,59,1,58,39,58,6,52,31,52,47,5,5
0,3,3,2,33,14,19,15,19,16,3,0,3,3,0,0
4,4,1,3,4,1,3,0,3,3,0,0,0,0,0,0
3,0,1,0,18,2,16,7,16,16,0,0,0,0,0,0
2,1,0,3,56,10,46,30,46,2,44,21,44,35,9,4
1,1,0,3,30,0,30,25,30,1,29,4,29,7,22,9
4,1,3,4,21,16,5,2,5,1,4,3,4,2,2,0
2,4,2,0,23,6,17,3,17,6,11,4,11,3,8,8
2,4,4,3,3,2,1,1,1,0,1,0,1,0,1,1
3,1,4,4,51,30,21,17,21,13,8,0,8,8,0,0
1,3,4,3,27,20,7,1,7,3,4,4,4,2,2,2
4,0,4,4,46,0,46,18,46,6,40,2,40,17,23,23
1,1,2,0,17,7,10,8,10,7,3,3,3,2,1,1
3,2,3,2,34,21,13,10,13,11,2,0,2,0,2,0
3,4,1,2,54,31,23,9,23,21,2,2,2,1,1,1
0,3,4,3,39,37,2,1,2,2,0,0,0,0,0,0
1,0,4,3,46,45,1,1,1,1,0,0,0,0,0,0
4,0,1,3,41,20,21,21,21,16,5,4,5,2,3,2
0,2,4,2,24,1,23,11,23,10,13,2,13,12,1,1
1,3,4,0,26,26,0,0,0,0,0,0,0,0,0,0
1,4,4,2,50,46,4,1,4,1,3,1,3,0,3,2
1,4,4,0,19,1,18,12,18,0,18,4,18,9,9,9
2,3,4,4,38,8,30,11,30,9,21,4,21,12,9,9
0,1,3,4,26,21,5,2,5,3,2,2,2,1,1,1
4,1,4,2,49,37,12,4,12,11,1,0,1,0,1,0
2,0,4,3,26,24,2,2,2,0,2,1,2,1,1,0
3,0,0,2,35,5,30,12,30,25,5,4,5,2,3,1
4,2,1,4,31,14,17,5,17,7,10,0,10,1,9,5
0,3,4,3,18,0,18,9,18,0,18,4,18,13,5,4
0,3,0,2,76,6,70,11,70,52,18,10,18,9,9,9
3,4,4,4,45,11,34,10,34,11,23,17,23,11,12,5
1,2,3,4,64,57,7,0,7,6,1,1,1,1,0,0
1,1,3,4,38,25,13,9,13,13,0,0,0,0,0,0
0,3,0,0,47,42,5,5,5,2,3,2,3,1,2,0
0,4,1,4,3,1,2,1,2,2,0,0,0,0,0,0
1,0,3,0,19,2,17,10,17,11,6,1,6,2,4,4
1,3,1,4,53,48,5,3,5,3,2,0,2,0,2,1
0,1,2,4,46,23,23,6,23,0,23,14,23,17,6,3
0,2,4,2,11,4,7,2,7,7,0,0,0,0,0,0
2,1,3,0,23,0,23,4,23,21,2,1,2,1,1,1
3,4,3,0,55,42,13,6,13,8,5,5,5,5,0,0
1,3,0,3,12,7,5,5,5,3,2,1,2,0,2,1
4,0,4,0,51,47,4,0,4,2,2,2,2,0,2,0
1,3,0,4,68,56,12,7,12,6,6,0,6,2,4,1
0,3,1,3,15,14,1,0,1,1,0,0,0,0,0,0
1,1,2,4,38,33,5,1,5,3,2,2,2,1,1,1
4,2,0,1,2,0,2,2,2,2,0,0,0,0,0,0
3,3,3,2,17,2,15,1,15,1,14,7,14,4,10,5
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,2,2,39,13,26,13,26,11,15,4,15,13,2,0
2,0,3,3,46,4,42,23,42,25,17,0,17,12,5,3
0,0,0,4,50,8,42,24,42,16,26,2,26,11,15,6
1,4,2,2,25,9,16,1,16,6,10,0,10,3,7,7
1,3,1,0,16,9,7,0,7,1,6,3,6,2,4,0
4,1,1,0,29,8,21,17,21,19,2,0,2,2,0,0
0,3,0,3,44,4,40,32,40,35,5,0,5,3,2,0
4,2,1,2,45,36,9,6,9,8,1,1,1,0,1,1
0,0,2,4,43,10,33,22,33,22,11,4,11,2,9,0
2,4,0,1,40,38,2,2,2,2,0,0,0,0,0,0
0,1,1,3,28,6,22,3,22,20,2,1,2,0,2,0
0,0,4,0,24,8,16,5,16,2,14,6,14,7,7,5
1,2,4,0,19,0,19,2,19,8,11,2,11,9,2,1
3,4,2,3,47,18,29,25,29,27,2,1,2,2,0,0
1,0,2,0,27,12,15,7,15,15,0,0,0,0,0,0
4,2,4,0,12,6,6,2,6,6,0,0,0,0,0,0
4,0,0,2,36,28,8,5,8,0,8,0,8,2,6,5
2,3,3,2,39,23,16,14,16,2,14,4,14,13,1,0
0,2,1,4,42,12,30,13,30,7,23,19,23,11,12,10
0,1,1,1,18,18,0,0,0,0,0,0,0,0,0,0
0,1,4,3,8,7,1,1,1,1,0,0,0,0,0,0
0,2,4,0,54,20,34,34,34,0,34,28,34,7,27,23
4,2,4,1,34,27,7,3,7,1,6,2,6,4,2,2
4,2,4,3,42,7,35,35,35,30,5,0,5,5,0,0
2,0,0,0,56,33,23,17,23,0,23,12,23,22,1,1
2,1,1,2,33,11,22,9,22,9,13,8,13,6,7,3
1,0,0,1,35,25,10,4,10,9,1,1,1,1,0,0
1,0,3,1,13,4,9,6,9,6,3,0,3,2,1,1
3,0,3,0,36,24,12,2,12,10,2,2,2,1,1,1
1,0,4,4,33,28,5,1,5,3,2,0,2,2,0,0
1,2,4,1,42,22,20,15,20,7,13,3,13,3,10,7
0,4,0,2,42,25,17,13,17,15,2,0,2,0,2,0
0,4,3,2,35,1,34,4,34,23,11,0,11,8,3,0
4,0,2,4,44,5,39,14,39,36,3,0,3,2,1,0
1,4,1,1,15,8,7,0,7,5,2,2,2,2,0,0
3,0,4,2,54,17,37,17,37,12,25,6,25,14,11,9
3,4,2,2,50,35,15,5,15,13,2,0,2,1,1,0
1,4,1,3,34,29,5,5,5,1,4,1,4,3,1,1
4,2,0,0,25,19,6,1,6,6,0,0,0,0,0,0
3,3,4,3,42,20,22,10,22,7,15,0,15,4,11,8
1,1,1,4,24,20,4,2,4,3,1,1,1,0,1,0
1,3,0,0,2,1,1,0,1,1,0,0,0,0,0,0
0,2,3,1,29,14,15,1,15,15,0,0,0,0,0,0
3,4,3,1,33,24,9,4,9,8,1,1,1,0,1,1
2,0,1,2,13,8,5,2,5,0,5,3,5,5,0,0
1,3,2,3,20,11,9,0,9,4,5,5,5,4,1,1
4,2,0,3,31,27,4,3,4,2,2,1,2,2,0,0
3,4,0,4,18,15,3,3,3,2,1,0,1,0,1,0
3,3,2,4,36,8,28,12,28,14,14,9,14,7,7,0
2,2,4,1,32,3,29,25,29,27,2,2,2,0,2,0
2,0,4,1,31,30,1,1,1,0,1,0,1,0,1,1
3,3,4,3,31,18,13,13,13,4,9,7,9,9,0,0
2,1,0,1,41,4,37,28,37,34,3,0,3,3,0,0
0,1,4,1,25,11,14,5,14,11,3,0,3,1,2,0
3,1,3,2,53,47,6,6,6,5,1,1,1,0,1,1
0,3,4,0,38,3,35,27,35,20,15,9,15,12,3,1
3,2,4,1,9,0,9,4,9,1,8,3,8,3,5,4
1,1,2,0,10,6,4,0,4,4,0,0,0,0,0,0
0,3,1,0,21,12,9,5,9,0,9,4,9,6,3,1
1,0,2,3,47,11,36,34,36,13,23,15,23,9,14,7
4,1,4,4,26,15,11,2,11,8,3,1,3,2,1,0
1,0,0,1,35,25,10,2,10,8,2,0,2,0,2,2
0,0,3,2,11,4,7,4,7,6,1,1,1,1,0,0
4,1,4,1,14,9,5,3,5,4,1,1,1,1,0,0
2,0,4,0,3,0,3,3,3,2,1,1,1,0,1,0
0,0,0,3,60,53,7,2,7,4,3,0,3,1,2,1
4,0,2,1,25,17,8,1,8,7,1,1,1,1,0,0
3,0,1,2,11,9,2,1,2,1,1,0,1,0,1,1
4,3,1,1,18,9,9,7,9,7,2,1,2,1,1,1
1,3,4,3,48,18,30,29,30,26,4,3,4,4,0,0
1,2,3,1,42,36,6,3,6,4,2,1,2,1,1,0
3,3,4,1,12,9,3,1,3,0,3,0,3,0,3,3
3,0,3,1,35,9,26,22,26,25,1,0,1,0,1,0
4,3,2,3,21,1,20,12,20,2,18,16,18,10,8,6
0,4,4,1,24,0,24,10,24,18,6,0,6,4,2,0
1,1,3,2,72,60,12,0,12,11,1,1,1,0,1,1
2,2,0,4,18,18,0,0,0,0,0,0,0,0,0,0
4,4,3,1,34,24,10,10,10,8,2,1,2,0,2,0
2,0,0,4,42,22,20,1,20,10,10,10,10,8,2,2
3,2,4,4,23,8,15,15,15,4,11,6,11,8,3,3
2,0,0,4,47,6,41,11,41,20,21,10,21,1,20,1
3,3,4,1,72,63,9,2,9,9,0,0,0,0,0,0
2,3,4,3,17,17,0,0,0,0,0,0,0,0,0,0
0,1,3,0,59,12,47,31,47,38,9,1,9,4,5,0
3,3,3,2,63,43,20,11,20,20,0,0,0,0,0,0
2,3,1,4,56,30,26,17,26,15,11,1,11,8,3,1
4,0,0,1,27,9,18,3,18,8,10,4,10,7,3,0
3,2,4,3,34,27,7,1,7,2,5,2,5,4,1,0
3,2,4,3,45,19,26,3,26,23,3,3,3,2,1,1
2,0,1,2,68,60,8,6,8,3,5,4,5,2,3,2
2,0,4,3,45,22,23,18,23,18,5,4,5,5,0,0
1,0,4,3,51,34,17,5,17,7,10,8,10,6,4,2
0,2,3,0,12,9,3,2,3,3,0,0,0,0,0,0
3,1,0,2,42,22,20,8,20,15,5,4,5,3,2,2
1,0,4,4,33,8,25,21,25,13,12,7,12,9,3,2
1,2,4,0,6,0,6,1,6,2,4,3,4,2,2,2
2,4,2,2,34,10,24,0,24,18,6,2,6,3,3,2
4,4,2,1,61,16,45,22,45,29,16,3,16,15,1,0
1,0,2,2,29,22,7,1,7,0,7,1,7,5,2,0
2,4,0,3,28,17,11,3,11,9,2,2,2,1,1,1
0,2,2,0,59,15,44,3,44,5,39,23,39,24,15,8
0,3,1,2,3,0,3,3,3,0,3,0,3,3,0,0
2,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0
2,1,3,0,39,33,6,0,6,3,3,2,3,1,2,2
1,4,2,1,30,19,11,9,11,7,4,3,4,4,0,0
4,0,2,3,24,3,21,7,21,8,13,13,13,0,13,1
0,3,0,2,40,30,10,9,10,9,1,1,1,0,1,0
2,3,1,0,45,8,37,30,37,26,11,11,11,9,2,1
1,3,0,0,46,22,24,14,24,4,20,16,20,12,8,2
2,1,4,0,15,2,13,1,13,8,5,2,5,1,4,1
4,2,3,3,34,5,29,9,29,12,17,17,17,3,14,3
0,4,3,1,30,13,17,16,17,11,6,2,6,6,0,0
3,3,1,3,26,26,0,0,0,0,0,0,0,0,0,0
3,3,4,4,46,3,43,10,43,29,14,5,14,13,1,0
4,4,1,1,49,23,26,20,26,3,23,10,23,10,13,2
4,3,2,2,13,2,11,6,11,6,5,2,5,4,1,0
3,3,0,2,13,2,11,2,11,3,8,6,8,0,8,6
4,0,0,0,34,8,26,11,26,5,21,8,21,6,15,9
1,1,4,0,25,22,3,2,3,2,1,0,1,0,1,0
3,1,4,4,20,12,8,3,8,0,8,1,8,3,5,3
4,1,0,3,48,17,31,28,31,16,15,11,15,15,0,0
3,2,4,4,24,7,17,12,17,15,2,1,2,0,2,1
2,1,2,1,39,6,33,32,33,15,18,7,18,0,18,5
4,4,0,2,6,2,4,4,4,0,4,2,4,0,4,3
0,3,1,3,8,5,3,2,3,0,3,1,3,2,1,0
1,0,3,0,31,12,19,7,19,7,12,3,12,3,9,9
3,0,0,4,10,9,1,0,1,1,0,0,0,0,0,0
3,4,0,1,47,8,39,24,39,19,20,12,20,10,10,5
0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,2,36,26,10,10,10,9,1,0,1,1,0,0
2,1,3,0,31,15,16,11,16,7,9,5,9,9,0,0
0,0,3,4,7,4,3,0,3,0,3,0,3,0,3,3
2,0,0,0,16,2,14,13,14,11,3,2,3,3,0,0
2,0,4,2,42,16,26,6,26,10,16,3,16,10,6,0
1,0,0,4,74,60,14,4,14,2,12,11,12,0,12,2
2,0,3,1,32,4,28,15,28,7,21,10,21,11,10,5
2,0,3,0,21,15,6,0,6,1,5,2,5,2,3,1
2,0,2,0,12,10,2,2,2,2,0,0,0,0,0,0
2,3,3,0,25,8,17,10,17,12,5,5,5,2,3,3
4,2,1,1,21,2,19,13,19,1,18,3,18,2,16,13
2,0,4,3,32,7,25,11,25,25,0,0,0,0,0,0
3,1,4,3,9,4,5,1,5,2,3,0,3,0,3,3
2,4,0,1,60,3,57,8,57,1,56,16,56,52,4,3
0,1,2,1,10,6,4,3,4,2,2,2,2,2,0,0
3,1,1,1,35,28,7,7,7,1,6,2,6,1,5,0
4,3,4,1,35,34,1,1,1,0,1,1,1,1,0,0
1,0,0,2,44,6,38,21,38,10,28,3,28,13,15,2
4,3,2,2,21,18,3,3,3,1,2,2,2,1,1,0
3,3,1,0,54,0,54,17,54,52,2,2,2,0,2,0
1,3,3,3,61,22,39,4,39,36,3,0,3,3,0,0
4,4,4,4,22,14,8,4,8,6,2,1,2,2,0,0
3,3,4,3,32,30,2,1,2,0,2,1,2,1,1,1
0,1,4,2,13,3,10,9,10,4,6,4,6,3,3,3
0,1,2,4,54,42,12,3,12,11,1,0,1,1,0,0
4,4,4,3,9,5,4,0,4,4,0,0,0,0,0,0
4,3,3,0,36,14,22,19,22,22,0,0,0,0,0,0
1,4,4,0,19,2,17,7,17,4,13,5,13,11,2,0
4,4,1,3,24,8,16,12,16,14,2,0,2,0,2,0
4,3,1,2,56,47,9,3,9,4,5,4,5,5,0,0
2,0,4,4,21,0,21,4,21,15,6,2,6,0,6,0
0,3,0,1,35,24,11,1,11,7,4,2,4,1,3,3
4,4,0,1,19,16,3,0,3,3,0,0,0,0,0,0
1,1,1,0,58,12,46,7,46,37,9,9,9,5,4,3
4,0,2,4,49,16,33,1,33,0,33,14,33,22,11,6
4,2,2,0,50,29,21,19,21,13,8,0,8,0,8,6
1,0,3,4,46,23,23,2,23,7,16,12,16,11,5,4
2,2,4,4,13,3,10,10,10,9,1,1,1,1,0,0
3,4,1,1,64,42,22,1,22,10,12,12,12,11,1,0
4,1,3,3,19,11,8,2,8,8,0,0,0,0,0,0
0,2,0,4,33,22,11,0,11,3,8,3,8,3,5,3
0,1,3,0,33,23,10,6,10,6,4,2,4,4,0,0
3,1,0,1,36,15,21,7,21,21,0,0,0,0,0,0
4,0,0,4,19,0,19,1,19,11,8,3,8,3,5,2
1,2,1,4,23,7,16,12,16,9,7,3,7,7,0,0
0,4,4,2,62,14,48,15,48,33,15,2,15,15,0,0
4,4,1,0,77,48,29,13,29,28,1,1,1,1,0,0
3,4,0,2,24,24,0,0,0,0,0,0,0,0,0,0
4,4,4,3,22,18,4,2,4,0,4,4,4,0,4,4
2,1,1,1,46,26,20,8,20,0,20,9,20,9,11,7
0,2,1,0,23,15,8,6,8,7,1,0,1,0,1,0
4,3,2,0,21,4,17,3,17,9,8,1,8,3,5,2
1,2,1,1,53,42,11,6,11,0,11,4,11,5,6,4
0,1,0,0,63,62,1,0,1,1,0,0,0,0,0,0
2,2,1,1,4,2,2,2,2,2,0,0,0,0,0,0
0,4,1,4,56,29,27,15,27,23,4,0,4,4,0,0
3,4,2,0,11,10,1,1,1,0,1,1,1,1,0,0
0,1,4,1,27,5,22,14,22,22,0,0,0,0,0,0
4,4,0,1,46,29,17,9,17,14,3,2,3,0,3,2
0,2,3,1,44,32,12,1,12,0,12,8,12,12,0,0
2,3,3,4,59,22,37,2,37,20,17,14,17,17,0,0
3,3,4,1,12,3,9,4,9,9,0,0,0,0,0,0
0,2,4,1,44,13,31,18,31,9,22,11,22,2,20,12
2,4,2,4,31,16,15,2,15,2,13,1,13,11,2,0
2,0,2,2,73,27,46,44,46,29,17,2,17,11,6,0
1,3,4,2,45,29,16,11,16,1,15,15,15,3,12,7
1,3,0,0,22,18,4,3,4,3,1,0,1,1,0,0
0,4,3,2,29,1,28,2,28,10,18,14,18,1,17,3
4,4,2,4,1,0,1,1,1,1,0,0,0,0,0,0
0,4,0,3,62,41,21,19,21,0,21,6,21,11,10,0
4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
